,SMILES,CID,Solubility1,Solubility2,Molecular_Weight,sol_new1,Unit,pubchem_sol_gl,smiles_canon,Lit_Sol_LogS,Lit_gram_liter,Error_gl
285,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],7430.0,"less than 0.1 mg/mL at 77 °F (NTP, 1992)","('0.1', 'mg/mL', '')",207.016,0.1,mg/mL,0.1,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,-4.4933358775,0.00664764831046759,-0.09335235168953242
286,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7434.0,"Solubility in water, 278 mg/L at 15 °C","('278', 'mg/L', '')",213.105,278.0,mg/L,0.278,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.888333366666666,0.2755879808364549,-0.0024120191635451094
287,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,7443.0,"less than 0.1 mg/mL at 74.3 °F (NTP, 1992)","('0.1', 'mg/mL', '')",192.001,0.1,mg/mL,0.1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2001289645,0.12110847238629463,0.021108472386294624
288,COC1=C(C=C(C=C1)[N+](=O)[O-])N,7447.0,"less than 0.1 mg/mL at 67.1 °F (NTP, 1992)","('0.1', 'mg/mL', '')",168.15199999999996,0.1,mg/mL,0.1,COc1ccc([N+](=O)[O-])cc1N,-3.1649996769999995,0.11500119684404862,0.015001196844048617
289,CC1=CCC(=CC1)C(C)C,7461.0,0.00868 mg/mL at 22 Â°C,"('0.00868', 'mg/mL', '')",136.238,0.00868,mg/mL,0.00868,CC1=CCC(C(C)C)=CC1,-4.195792455,0.008679721779212368,-2.782207876323578e-07
290,CC1=CC=C(C=C1)N(C)C,7471.0,"In water, 455 mg/L","('455', 'mg/L', '')",135.21,455.0,mg/L,0.455,Cc1ccc(N(C)C)cc1,-2.318095456,0.650000000221186,0.19500000022118597
291,C1=CC(=CC=C1[N+](=O)[O-])Cl,7474.0,"less than 0.1 mg/mL at 75 °F (NTP, 1992)","('0.1', 'mg/mL', '')",157.55599999999998,0.1,mg/mL,0.1,O=[N+]([O-])c1ccc(Cl)cc1,-2.8813158885,0.20707089375530005,0.10707089375530005
292,CC1=CC(=CC=C1)C=C,7529.0,"In water, 89.0 mg/L at 25 °C","('89.0', 'mg/L', '')",118.17899999999996,89.0,mg/L,0.089,C=Cc1cccc(C)c1,-3.123,0.08903080716648691,3.080716648691528e-05
293,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,7540.0,"less than 0.1 mg/mL at 68 °F (NTP, 1992)","('0.1', 'mg/mL', '')",310.289,0.1,mg/mL,0.1,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,-6.523282731,9.300014994271676e-05,-0.09990699985005728
294,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,7594.0,29.5 [ug/mL] (The mean of the results at pH 7.4),"('29.5', 'ug/mL', '')",211.268,29.5,ug/mL,0.0295,NC(=Nc1ccccc1)Nc1ccccc1,-2.324818916,1.000034090396844,0.9705340903968441
295,C=CCN(CC=C)CC=C,7617.0,"2.5 mg/mL (NTP, 1992)","('2.5', 'mg/mL', '')",137.22599999999997,2.5,mg/mL,2.5,C=CCN(CC=C)CC=C,-1.7395045275,2.499953189488177,-4.681051182320317e-05
296,C(CO)N(CCO)CCO,7618.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",149.19,100.0,mg/mL,100.0,OCCN(CCO)CCO,0.826280143,1000.0457233666893,900.0457233666893
297,B(O)(O)O,7628.0,"10 to 50 mg/mL at 66 °F (NTP, 1992)","('10', 'mg/mL', '')",61.833000000000006,10.0,mg/mL,10.0,OB(O)O,-0.092236273,50.00161651903051,40.00161651903051
298,CN(C)CC1=CC=CC=C1,7681.0,"Solubility in water, g/100ml: 1.2 (moderate)","('00', 'ml', '')",135.20999999999998,0.0,ml,0.0,CN(C)Cc1ccccc1,-1.139859413,9.79826993540005,9.79826993540005
299,COC1=CC=C(C=C1)CC(=O)O,7690.0,18 mg/mL,"('18', 'mg/mL', '')",166.176,18.0,mg/mL,18.0,COc1ccc(CC(=O)O)cc1,-1.231430051,9.753000577129237,-8.246999422870763
300,CCOC(=O)NC,7752.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",103.121,100.0,mg/mL,100.0,CCOC(=O)NC,0.825753093,690.3990877682446,590.3990877682446
301,C1CCC(=O)NCC1,7768.0,"greater than or equal to 100 mg/mL at 68.9 °F (NTP, 1992)","('100', 'mg/mL', '')",113.16,100.0,mg/mL,100.0,O=C1CCCCCN1,0.833962181,772.0672306172568,672.0672306172568
302,CCCCOC(=O)CCCCC(=O)OCCCC,7784.0,"Solubility in water, g/100ml at 25 °C: 0.0035 (very poor)","('00', 'ml', '')",258.3579999999999,0.0,ml,0.0,CCCCOC(=O)CCCCC(=O)OCCCC,-3.868157232,0.03499972902161028,0.03499972902161028
303,CCCC(=O)OCCC(C)C,7795.0,118 mg/L @ 25 °C (exp),"('118', 'mg/L', '')",158.241,118.0,mg/L,0.118,CCCC(=O)OCCC(C)C,-2.932849379,0.1847011671347704,0.0667011671347704
304,COC(=O)CCC(=O)OC,7820.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",146.142,100.0,mg/mL,100.0,COC(=O)CCC(=O)OC,-0.7668145470000001,25.001179575204354,-74.99882042479564
305,CCC1CO1,7834.0,"greater than or equal to 100 mg/mL at 63 °F (NTP, 1992)","('100', 'mg/mL', '')",72.107,100.0,mg/mL,100.0,CCC1CO1,0.018003938,75.15906438900946,-24.84093561099054
306,C1C(O1)CCl,7835.0,"50 to 100 mg/mL at 72 °F (NTP, 1992)","('50', 'mg/mL', '')",92.525,50.0,mg/mL,50.0,ClCC1CO1,-0.1481323826666666,65.78497456334408,15.784974563344079
307,CC(=C)C(=O)OCC1CO1,7837.0,"5 to 10 mg/mL at 68 °F (NTP, 1992)","('10', 'mg/mL', '')",142.154,10.0,mg/mL,10.0,C=C(C)C(=O)OCC1CO1,-0.6945324310000001,28.722792023822464,18.722792023822464
308,C=CCOCC1CO1,7838.0,"greater than or equal to 100 mg/mL at 65.3 °F (NTP, 1992)","('100', 'mg/mL', '')",114.144,100.0,mg/mL,100.0,C=CCOCC1CO1,0.092,141.0759838430902,41.0759838430902
309,CCCC,7843.0,"61 mg/L at 68 °F (NTP, 1992)","('61', 'mg/L', '')",58.124,61.0,mg/L,0.061,CCCC,-2.8325246943333333,0.0854733645545846,0.024473364554584598
310,CCC#N,7854.0,"50 to 100 mg/mL at 73 °F (NTP, 1992)","('50', 'mg/mL', '')",55.07999999999999,50.0,mg/mL,50.0,CCC#N,0.27596082325,103.98118317130877,53.98118317130877
311,C(C#N)Cl,7856.0,"50 to 100 mg/mL at 70.7 °F (NTP, 1992)","('50', 'mg/mL', '')",75.49799999999999,50.0,mg/mL,50.0,N#CCCl,-0.0906666693333333,61.27294825233407,11.272948252334068
312,C(=O)C=O,7860.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",58.036,100.0,mg/mL,100.0,O=CC=O,1.2363,999.9941791567816,899.9941791567816
313,COC=C,7861.0,"In water, 0.97 wt% /15,000 mg/L/ at 20 °C","('0.97', 'mg/L', '')",58.080000000000005,0.97,mg/L,0.001,C=COC,-0.5879176745,15.000610455465102,14.999610455465103
314,C(CS(=O)(=O)O)O,7866.0,1000 mg/mL,"('1000', 'mg/mL', '')",126.13299999999995,1000.0,mg/mL,1000.0,O=S(=O)(O)CCO,0.899195967,1000.0568577287585,0.05685772875847306
315,CC(C)OP(=O)(C)F,7871.0,Miscible with water /1X10+6 mg/L at 25 °C /,"('10', 'mg/L', '')",140.094,10.0,mg/L,0.01,CC(C)OP(C)(=O)F,0.8535934983333333,1000.0300120806033,1000.0200120806034
316,CC(=O)CC(C)(C)OC,7884.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",130.18699999999998,100.0,mg/mL,100.0,COC(C)(C)CC(C)=O,0.332590202,279.9998646007536,179.9998646007536
317,CC(CC=O)O,7897.0,Miscible with water /1.00X10+6 mg/L/,"('00', 'mg/L', '')",88.106,0.0,mg/L,0.0,CC(O)CC=O,1.0549873995,999.9836155872633,999.9836155872633
318,C(C#N)C(=O)N,7898.0,1 G DISSOLVES IN 6.5 ML COLD WATER; 1.3 G @ 0 °C IN 100 ML OF 95% ALCOHOL; 3.1 G @ 26 °C IN 100 ML OF 95% ALCOHOL; 7.0 G @ 44 °C IN 100 ML OF 95% ALCOHOL; 14.0 G @ 62 °C IN 100 ML OF 95% ALCOHOL; 21.5 G @ 71 °C IN 100 ML OF 95% ALCOHOL,"('6.5', ' M', '')",84.078,6.5, M,546.507,N#CCC(N)=O,0.1895,130.07156702293324,-416.43543297706674
319,CC(COC)O,7900.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",90.122,100.0,mg/mL,100.0,COCC(C)O,1.0451894085,1000.0465814199447,900.0465814199447
320,CN(C)CCO,7902.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",89.13799999999999,100.0,mg/mL,100.0,CN(C)CCO,1.049913685,999.9460531346404,899.9460531346404
321,CC(=O)OC(=O)C,7918.0,"Soluble in cold (greater than or equal to 10mg/ml); Decomposes in hot (NTP, 1992)","('10', 'ml', '')",102.089,10.0,ml,10.0,CC(=O)OC(C)=O,0.070099021,119.97146737590204,109.97146737590204
322,CC1COC(=O)O1,7924.0,"In water, 1.75X10+5 mg/L at 25 °C","('1.75', 'mg/L', '')",102.08899999999998,1.75,mg/L,0.0018,CC1COC(=O)O1,0.2340274224999999,174.9872363734191,174.9854363734191
323,CC(CCl)OC(C)CCl,7944.0,"less than 0.1 mg/mL at 72 °F (NTP, 1992)","('0.1', 'mg/mL', '')",171.06699999999998,0.1,mg/mL,0.1,CC(CCl)OC(C)CCl,-2.003,1.698893830552238,1.598893830552238
324,CC(COC)OC(=O)C,7946.0,"In water, 1.98X10+5 mg/L at 25 °C","('1.98', 'mg/L', '')",132.159,1.98,mg/L,0.002,COCC(C)OC(C)=O,0.17578258,198.0976501060978,198.0956501060978
325,CC1=CC=CC=N1,7975.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",93.129,100.0,mg/mL,100.0,Cc1ccccn1,1.0309551985,1000.0924256970753,900.0924256970753
326,CC1=NC=CN=C1,7976.0,1000 mg/mL at 20 °C,"('1000', 'mg/mL', '')",94.117,1000.0,mg/mL,1000.0,Cc1cnccn1,1.0261590405,999.6019990856453,-0.39800091435472496
327,C1=CC=NC(=C1)Cl,7977.0,"In water, 2.00X10+4 mg/L t 25 °C","('2.00', 'mg/L', '')",113.54699999999998,2.0,mg/L,0.002,Clc1ccccn1,-0.7540785715,20.003090176448275,20.001090176448276
328,CCCCOC(=O)CCC,7983.0,0.5 mg/mL at 20 °C,"('0.5', 'mg/mL', '')",144.21399999999997,0.5,mg/mL,0.5,CCCCOC(=O)CCC,-2.4600277435,0.5000111388950133,1.1138895013251826e-05
329,CCCCC(=O)O,7991.0,"10 to 50 mg/mL at 72 °F (NTP, 1992)","('10', 'mg/mL', '')",102.13299999999998,10.0,mg/mL,10.0,CCCCC(=O)O,-0.522471045,30.668677158472512,20.668677158472512
330,CCCCN,8007.0,"Soluble (>=10 mg/ml) (NTP, 1992)","('10', 'ml', '')",73.139,10.0,ml,10.0,CCCCN,1.135922522,1000.1647407582208,990.1647407582208
331,C(C#N)C#N,8010.0,"greater than or equal to 100 mg/mL at 72.5 °F (NTP, 1992)","('100', 'mg/mL', '')",66.063,100.0,mg/mL,100.0,N#CCC#N,0.277,125.01389647854303,25.01389647854303
332,C(CO)C#N,8011.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",71.07900000000001,100.0,mg/mL,100.0,N#CCCO,1.1483,1000.0951223592202,900.0951223592202
333,COCCO,8019.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",76.095,100.0,mg/mL,100.0,COCCO,1.1188076715,1000.3772181567871,900.3772181567871
334,CCNCC,8021.0,"greater than or equal to 100 mg/mL at 63 °F (NTP, 1992)","('100', 'mg/mL', '')",73.139,100.0,mg/mL,100.0,CCNCC,1.135922522,1000.1647407582208,900.1647407582208
335,C=CC(=O)NCNC(=O)C=C,8041.0,"0.1 to 1 mg/mL at 64 °F (NTP, 1992)","('0.1', 'mg/mL', '')",154.16899999999998,0.1,mg/mL,0.1,C=CC(=O)NCNC(=O)C=C,-0.655240423,34.10017693473983,34.00017693473983
336,CCOC(=O)CCCCCCCCC(=O)OCC,8049.0,0.08 mg/mL at 20 °C,"('0.08', 'mg/mL', '')",258.3579999999999,0.08,mg/mL,0.08,CCOC(=O)CCCCCCCCC(=O)OCC,-3.5096666666666665,0.07990155791841587,-9.844208158413248e-05
337,CC(C)CCOC=O,8052.0,3.5 mg/mL at 25 °C,"('3.5', 'mg/mL', '')",116.15999999999998,3.5,mg/mL,3.5,CC(C)CCOC=O,-1.5205295196666668,3.503701375777582,0.0037013757775818945
338,CC(=O)OCCOC,8054.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",118.132,100.0,mg/mL,100.0,COCCOC(C)=O,0.9276,999.925299386775,899.925299386775
339,C(CC#N)C#N,8062.0,"50 to 100 mg/mL at 70 °F (NTP, 1992)","('50', 'mg/mL', '')",80.09,50.0,mg/mL,50.0,N#CCCC#N,0.2001127135,126.96704357321416,76.96704357321416
340,C(CCO)CO,8064.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",90.122,100.0,mg/mL,100.0,OCCCCO,1.0451894085,1000.0465814199447,900.0465814199447
341,COCCOC,8071.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",90.122,100.0,mg/mL,100.0,COCCOC,1.0450894085,999.8163386935677,899.8163386935677
342,CCOCCO,8076.0,"greater than or equal to 100 mg/mL at 64 °F (NTP, 1992)","('100', 'mg/mL', '')",90.122,100.0,mg/mL,100.0,CCOCCO,1.0450894085,999.8163386935677,899.8163386935677
343,CCSSCC,8077.0,0.3 mg/mL at 25 °C,"('0.3', 'mg/mL', '')",122.258,0.3,mg/mL,0.3,CCSSCC,-2.4833667,0.40170809821134024,0.10170809821134025
344,C1OCOCO1,8081.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",90.078,100.0,mg/mL,100.0,C1OCOCO1,0.2892048355,175.31681431582112,75.31681431582112
345,CC(CNCC(C)O)O,8086.0,"Soluble (>=10 mg/ml) (NTP, 1992)","('10', 'ml', '')",133.191,10.0,ml,10.0,CC(O)CNCC(C)O,0.8100134160000001,859.9798898361698,849.9798898361698
346,CCCCCCC(=O)O,8094.0,"1 to 10 mg/mL at 73 °F (NTP, 1992)","('10', 'mg/mL', '')",130.187,10.0,mg/mL,10.0,CCCCCCC(=O)O,-1.6641642595,2.8210017776855416,-7.178998222314458
347,CCOCCOC(=O)C,8095.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",132.159,100.0,mg/mL,100.0,CCOCCOC(C)=O,0.2113707885,215.01439295259678,115.01439295259678
348,C(CSCCC(=O)O)C(=O)O,8096.0,"FREELY SOL IN HOT WATER, ALC, ACETONE; 1 G DISSOLVES IN 26.9 ML WATER @ 26 °C","('26.9', ' M', '')",178.209,26.9, M,4793.8221,O=C(O)CCSCCC(=O)O,-0.68018238,37.21750481362208,-4756.604595186378
349,C(CNCCO)N,8112.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",104.153,100.0,mg/mL,100.0,NCCNCCO,0.982320363,999.9819174705273,899.9819174705273
350,C(CO)NCCO,8113.0,"greater than or equal to 100 mg/mL at 57 °F (NTP, 1992)","('100', 'mg/mL', '')",105.137,100.0,mg/mL,100.0,OCCNCCO,0.9781588153333334,999.8029088102908,899.8029088102908
351,C(COCCO)O,8117.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",106.12099999999998,100.0,mg/mL,100.0,OCCOCCO,0.9742013795,1000.0062475678375,900.0062475678375
352,CC(=O)OCCOC(=O)C,8121.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",146.142,100.0,mg/mL,100.0,CC(=O)OCCOC(C)=O,0.0858254495,178.07399254892763,78.07399254892763
353,C(CCC#N)CC#N,8128.0,"50 to 100 mg/mL at 73 °F (NTP, 1992)","('50', 'mg/mL', '')",108.144,50.0,mg/mL,50.0,N#CCCCCC#N,-0.130948189,79.99341545004373,29.993415450043727
354,COCCOCCO,8134.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",120.148,100.0,mg/mL,100.0,COCCOCCO,0.9203,1000.0380990106236,900.0380990106236
355,CCOCCOCCO,8146.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",134.175,100.0,mg/mL,100.0,CCOCCOCCO,0.872156106,999.6033662000815,899.6033662000815
356,C(CNCCC#N)C#N,8149.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",123.159,100.0,mg/mL,100.0,N#CCCNCCC#N,0.909533846,999.9999998950166,899.9999998950166
357,C(COCCOCCO)O,8172.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",150.174,100.0,mg/mL,100.0,OCCOCCOCCO,0.82339395,999.9739781040253,899.9739781040253
358,CCCCCCCCCC=O,8175.0,In water 0.00156 mg/L at 25 °C,"('0.00156', 'mg/L', '')",156.269,0.00156,mg/L,0.0,CCCCCCCCCC=O,-3.555181167,0.043520278512828164,0.043520278512828164
359,CCCCOCCOCCO,8177.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",162.22899999999998,100.0,mg/mL,100.0,CCCCOCCOCCO,0.789884416,1000.0297202446944,900.0297202446944
360,CCOCCOCCOCC,8179.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",162.22899999999998,100.0,mg/mL,100.0,CCOCCOCCOCC,0.789934416,1000.1448595488376,900.1448595488376
361,C=CCCCCCCCCC=O,8187.0,30 mg/L @ 20 °C (exp),"('30', 'mg/L', '')",168.28,30.0,mg/L,0.03,C=CCCCCCCCCC=O,-3.893182071,0.021520404610245524,-0.008479595389754475
362,CCCCOCCOCCCC,8188.0,"In water, 2.0X10+3 mg/L at 20 °C","('2.0', 'mg/L', '')",174.28399999999996,2.0,mg/L,0.002,CCCCOCCOCCCC,-1.940121237,2.0004895260606212,1.9984895260606212
363,CCCCCCOCCOCCO,8199.0,"In water, 17,000 mg/L at 20 °C","('17', 'mg/L', '')",190.283,17.0,mg/L,0.017,CCCCCCOCCOCCO,-1.0489835225,16.998729670069913,16.981729670069914
364,C(COCCOCCOCCO)O,8200.0,Miscible with water /1.0X10+6 mg/L/ at 20 °C,"('10', 'mg/L', '')",194.227,10.0,mg/L,0.01,OCCOCCOCCOCCO,0.711691845,1000.0033322448757,999.9933322448757
365,CCCCCCCCCCCCCCCCCCCCCC(=O)O,8215.0,0.102 g are sol in 100 g of 90% ethanol at 17 °C;0.218 g are sol in 100 ml of 91.5% ethanol at 25 °C; 0.116 g are sol in 100 ml of 86.2% ethanol at 25 °C; 0.011 g are sol in 100 ml of 63.07% ethanol at 25 °C; 0.1922 g are sol in 100 g of ether at 16 °C,"('0.102', 'ml', '')",340.59200000000004,0.102,ml,0.102,CCCCCCCCCCCCCCCCCCCCCC(=O)O,-7.3281123305,1.6000078459706938e-05,-0.10198399992154028
366,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-],8246.0,>45.5 [ug/mL] (The mean of the results at pH 7.4),"('45.5', 'ug/mL', '')",303.19999999999993,45.5,ug/mL,0.0455,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],0.217240793,499.9999834490152,499.9544834490152
367,CC(C)(C=C)O,8257.0,1000 mg/mL,"('1000', 'mg/mL', '')",86.134,1000.0,mg/mL,1000.0,C=CC(C)(C)O,1.0648227765,999.9939960337816,-0.006003966218372625
368,C(C(Cl)(Cl)Cl)O,8259.0,83.3 mg/mL at 25 °C,"('83.3', 'mg/mL', '')",149.404,83.3,mg/mL,83.3,OCC(Cl)(Cl)Cl,-0.2537988856666666,83.28433825486393,-0.01566174513607166
369,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,8263.0,0.0236 mg/mL at 25 °C,"('0.0236', 'mg/mL', '')",200.028,0.0236,mg/mL,0.0236,FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.828727710666667,0.029673111054110194,0.006073111054110195
370,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,8268.0,"less than 0.1 mg/mL at 72 °F (NTP, 1992)","('0.1', 'mg/mL', '')",370.49,0.1,mg/mL,0.1,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.66892165075,0.0007940627794308235,-0.09920593722056918
371,CC(=O)CO,8299.0,1.00E+06 mg/L @ 20 °C (exp),"('1.00', 'mg/L', '')",74.079,1.0,mg/L,0.001,CC(=O)CO,1.1303,999.9887430191195,999.9877430191195
372,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],8307.0,>30.3 [ug/mL] (The mean of the results at pH 7.4),"('30.3', 'ug/mL', '')",201.697,30.3,ug/mL,0.0303,CC[N+](C)(C)c1cccc(O)c1.[Cl-],0.695307021,1000.0148740121155,999.9845740121154
373,CCC(C)C(=O)O,8314.0,45 mg/mL at 20 °C,"('45', 'mg/mL', '')",102.13299999999998,45.0,mg/mL,45.0,CCC(C)C(=O)O,-0.355920409,45.00343667589521,0.003436675895208907
374,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,8330.0,"less than 0.1 mg/mL at 68 °F (NTP, 1992)","('0.1', 'mg/mL', '')",260.891,0.1,mg/mL,0.1,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,-5.096,0.0020915059163527493,-0.09790849408364725
375,CC1=C(C(=O)C=CO1)O,8369.0,"1 to 10 mg/mL at 72 °F (NTP, 1992)","('10', 'mg/mL', '')",126.11099999999996,10.0,mg/mL,10.0,Cc1occc(=O)c1O,-1.063161514,10.904140919256331,0.9041409192563314
376,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,8400.0,"less than 0.1 mg/mL at 64 °F (NTP, 1992)","('0.1', 'mg/mL', '')",212.248,0.1,mg/mL,0.1,O=C(c1ccccc1)C(O)c1ccccc1,-2.84999995,0.2998083032877949,0.1998083032877949
377,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,8411.0,"less than 0.1 mg/mL at 68 °F (NTP, 1992)","('0.1', 'mg/mL', '')",244.29399999999995,0.1,mg/mL,0.1,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,-3.6098861085,0.0599827941024854,-0.040017205897514604
378,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,8447.0,"less than 0.1 mg/mL at 70 °F (NTP, 1992)","('0.1', 'mg/mL', '')",332.50000000000006,0.1,mg/mL,0.1,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,-4.5217762315000005,0.010000355022074947,-0.08999964497792506
379,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],8461.0,"less than 0.1 mg/mL at 63 °F (NTP, 1992)","('0.1', 'mg/mL', '')",182.135,0.1,mg/mL,0.1,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.85484380925,0.2544190348851445,0.1544190348851445
380,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],8478.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)","('10', 'mg/mL', '')",448.0910000000002,10.0,mg/mL,10.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],-5.879555444,0.000591303945840255,-9.999408696054159
381,C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O,8480.0,"1 to 10 mg/mL at 71.1 °F (NTP, 1992)","('10', 'mg/mL', '')",260.081,10.0,mg/mL,10.0,NC(=O)Nc1ccc([As](=O)(O)O)cc1,-0.29027846,133.30000519351537,123.30000519351537
382,CC(=O)C1=CC(=CC=C1)[N+](=O)[O-],8494.0,"less than 0.1 mg/mL at 68 °F (NTP, 1992)","('0.1', 'mg/mL', '')",165.14799999999994,0.1,mg/mL,0.1,CC(=O)c1cccc([N+](=O)[O-])c1,-2.282024115,0.8626789550424309,0.7626789550424309
383,CC1=CC=C(C=C1)C(=O)C,8500.0,0.372 mg/mL at 15 °C,"('0.372', 'mg/mL', '')",134.178,0.372,mg/mL,0.372,CC(=O)c1ccc(C)cc1,-2.557144848,0.3719944549164401,-5.545083559876929e-06
384,CN(C)CCC1=CC2=C(C(=C1CC(=O)C3=C(C(=C(C=C3)OC)OC)C(=O)O)OC)OCO2,8564.0,0.78 mg/mL at 13 °C,"('0.78', 'mg/mL', '')",445.46800000000025,0.78,mg/mL,0.78,COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,-2.6458619295,1.0068263721219353,0.22682637212193524
385,C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=CC=C3C(=O)O,8594.0,"INSOL IN HEXANE, XYLENE, BENZENE; PPM @ 25 °C: ACETONE 5,000; ISOPROPANOL 2,100; CARBON TETRACHLORIDE 100; WATER 200; DIMETHYLFORMAMIDE 39,400; DIMETHYL SULFOXIDE 43,100; METHYLETHYL KETONE 3,700","('25', ' M', '')",291.306,25.0, M,7282.65,O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12,-3.1615,0.20083963796424867,-7282.449160362035
386,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,8667.0,>44.7 [ug/mL] (The mean of the results at pH 7.4),"('44.7', 'ug/mL', '')",297.855,44.7,ug/mL,0.0447,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,-0.391204944,121.00406239519059,120.95936239519058
387,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,8691.0,30.4 [ug/mL] (The mean of the results at pH 7.4),"('30.4', 'ug/mL', '')",249.705,30.4,ug/mL,0.0304,Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1,-1.196024897,15.900191011122075,15.869791011122075
388,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,8695.0,>45.1 [ug/mL] (The mean of the results at pH 7.4),"('45.1', 'ug/mL', '')",300.83,45.1,ug/mL,0.0451,CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl,-0.724274426,56.76056603107366,56.71546603107366
389,CC1=CC(=C(C=C1C)N)C,8717.0,"less than 0.1 mg/mL at 73 °F (NTP, 1992)","('0.1', 'mg/mL', '')",135.21,0.1,mg/mL,0.1,Cc1cc(C)c(N)cc1C,-1.952458777,1.5085163992160515,1.4085163992160514
